Age,Gender,Marital Status,Education Level,Employment Status,Credit Utilization Ratio,Payment History,Number of Credit Accounts,Loan Amount,Interest Rate,Loan Term,Type of Loan
58,Female,Single,Master,Employed,0.51,2513.8,5,3434404,4.38,24,Home Loan
52,Male,Married,High School,Employed,0.44,1494.7,12,919121,3.02,24,Auto Loan
36,Male,Single,PhD,Unemployed,1.0,2514.9,4,3631301,8.26,24,Personal Loan
65,Female,Single,Master,Self-Employed,0.23,1980.0,8,2150314,2.41,12,Education Loan
33,Female,Widowed,PhD,Self-Employed,0.55,914.8,2,4076981,4.1,36,Auto Loan
20,Male,Married,High School,Employed,0.67,561.7,10,4477801,1.68,60,Auto Loan
37,Female,Married,Master,Self-Employed,0.7,1406.9,9,2219465,3.05,24,Personal Loan
41,Female,Divorced,High School,Unemployed,0.2,1866.7,7,2135629,6.96,36,Auto Loan
50,Male,Married,PhD,Self-Employed,0.65,2599.6,13,2193525,2.91,48,Personal Loan
41,Female,Married,PhD,Employed,0.82,818.7,7,4084669,2.06,12,Education Loan
69,Female,Divorced,High School,Employed,0.05,2500.5,1,703464,4.82,36,Education Loan
28,Female,Married,Master,Unemployed,0.91,2657.5,14,728730,1.57,36,Auto Loan
66,Male,Married,High School,Unemployed,0.03,876.7,12,1587415,2.09,60,Personal Loan
25,Male,Married,PhD,Self-Employed,0.36,2629.0,2,4272663,7.15,36,Home Loan
53,Male,Married,High School,Self-Employed,0.02,2978.6,4,3603824,6.9,60,Education Loan
55,Female,Divorced,PhD,Employed,0.08,2317.1,4,4678223,7.91,12,Personal Loan
57,Female,Married,High School,Unemployed,0.91,2461.9,11,1368356,7.48,12,Personal Loan
37,Male,Married,Master,Unemployed,0.35,2986.0,14,1525719,6.28,48,Personal Loan
52,Female,Divorced,Master,Unemployed,0.42,2013.7,3,4151426,1.87,60,Auto Loan
65,Female,Widowed,High School,Self-Employed,0.22,1269.7,7,826117,6.98,60,Home Loan
42,Female,Single,High School,Unemployed,0.6,2593.8,12,847566,7.42,24,Auto Loan
52,Female,Widowed,Master,Employed,0.59,2036.2,8,1166543,7.09,24,Education Loan
42,Female,Divorced,PhD,Employed,0.37,1953.0,2,104455,5.06,48,Auto Loan
46,Male,Single,Master,Self-Employed,0.33,1134.1,4,1519639,3.13,12,Personal Loan
35,Female,Divorced,PhD,Self-Employed,0.88,2390.8,14,1233981,7.42,24,Auto Loan
63,Male,Divorced,High School,Unemployed,0.38,704.2,3,2346798,6.59,36,Personal Loan
35,Female,Married,High School,Self-Employed,0.49,2810.7,2,4394241,8.37,12,Home Loan
19,Male,Single,PhD,Employed,0.28,1314.6,12,2579464,2.59,36,Auto Loan
52,Female,Married,High School,Unemployed,0.79,819.4,13,2168344,3.08,60,Auto Loan
33,Male,Single,PhD,Employed,0.4,1605.9,14,845165,2.98,12,Auto Loan
58,Female,Divorced,Bachelor,Unemployed,0.51,606.2,6,3390889,7.05,48,Personal Loan
53,Male,Divorced,Master,Self-Employed,0.25,2211.6,13,1744428,2.81,60,Personal Loan
50,Female,Widowed,Bachelor,Unemployed,0.99,2756.8,4,3832069,1.97,60,Auto Loan
21,Male,Single,PhD,Unemployed,0.29,2593.2,6,4490591,8.49,36,Auto Loan
50,Female,Married,Master,Employed,0.77,818.4,2,2053683,1.67,60,Home Loan
31,Male,Widowed,PhD,Employed,0.43,815.7,12,3154787,7.35,24,Home Loan
38,Male,Widowed,Master,Unemployed,0.21,2533.6,4,2822789,4.06,12,Education Loan
65,Female,Widowed,Master,Self-Employed,0.8,2810.6,11,3262772,7.39,24,Home Loan
37,Female,Married,Master,Self-Employed,0.33,1651.7,6,1563749,5.38,36,Home Loan
25,Male,Widowed,Master,Employed,0.87,1747.4,14,2288214,7.81,36,Home Loan
24,Female,Married,PhD,Self-Employed,0.92,1295.7,5,466104,7.98,12,Personal Loan
20,Male,Widowed,Master,Employed,0.86,2735.7,3,2176503,1.56,60,Home Loan
34,Male,Married,Master,Self-Employed,0.04,2112.3,8,244085,2.03,48,Home Loan
50,Male,Divorced,Bachelor,Unemployed,0.79,1220.6,7,768171,3.25,36,Auto Loan
65,Female,Divorced,High School,Employed,0.41,1247.0,3,508095,6.19,12,Personal Loan
29,Male,Divorced,High School,Employed,0.87,2728.0,6,2177461,7.72,48,Education Loan
68,Male,Divorced,Bachelor,Unemployed,0.64,534.1,4,4890397,4.72,60,Education Loan
39,Female,Divorced,Bachelor,Employed,0.83,1306.8,11,1177732,5.75,36,Home Loan
39,Female,Widowed,PhD,Self-Employed,0.5,1885.9,5,2445296,2.82,12,Education Loan
63,Female,Widowed,PhD,Self-Employed,0.54,870.5,11,1500424,7.13,12,Education Loan
47,Female,Widowed,PhD,Employed,0.14,730.2,5,31576,8.27,12,Education Loan
55,Male,Married,Bachelor,Self-Employed,0.78,2538.2,7,3683336,3.38,36,Home Loan
55,Male,Married,Bachelor,Employed,0.42,2736.0,11,2773262,4.96,48,Education Loan
62,Male,Married,Master,Unemployed,0.5,2559.0,5,2734442,2.1,12,Home Loan
68,Male,Married,PhD,Employed,0.79,2747.0,11,3340263,5.41,60,Auto Loan
25,Female,Divorced,PhD,Unemployed,0.6,1882.8,3,3675842,5.02,12,Auto Loan
44,Male,Divorced,PhD,Self-Employed,0.2,2530.6,10,2747968,2.51,48,Education Loan
44,Male,Divorced,High School,Unemployed,0.59,1460.1,5,2801338,4.59,36,Auto Loan
51,Female,Single,Master,Self-Employed,0.41,2165.7,7,2196203,3.84,12,Home Loan
38,Male,Widowed,PhD,Employed,0.47,2972.1,5,2921451,5.15,12,Auto Loan
47,Male,Married,PhD,Self-Employed,0.03,1064.3,5,3347031,5.6,60,Education Loan
50,Male,Married,PhD,Employed,0.21,1474.7,9,2310457,1.56,60,Home Loan
45,Male,Divorced,High School,Employed,0.28,1700.1,3,3462550,6.83,12,Personal Loan
64,Male,Married,High School,Unemployed,0.71,845.0,13,3955123,6.49,12,Home Loan
50,Male,Married,Bachelor,Unemployed,0.01,702.6,6,2564728,4.06,60,Auto Loan
22,Female,Widowed,Master,Unemployed,0.41,2574.3,1,4778026,1.87,48,Personal Loan
65,Female,Divorced,Bachelor,Unemployed,0.92,2942.0,10,2173769,6.78,24,Home Loan
36,Male,Widowed,Master,Self-Employed,0.11,1511.8,5,4093501,8.19,24,Personal Loan
21,Male,Single,High School,Self-Employed,0.52,719.1,8,4846161,3.18,12,Personal Loan
52,Female,Single,PhD,Self-Employed,0.79,664.5,5,1790248,3.76,60,Personal Loan
66,Male,Single,Bachelor,Employed,0.94,2728.3,9,2618026,2.79,36,Home Loan
34,Male,Divorced,PhD,Self-Employed,0.75,1659.5,11,4805817,5.54,36,Auto Loan
61,Male,Married,Bachelor,Self-Employed,0.72,1300.1,6,2190019,2.58,24,Home Loan
45,Female,Divorced,High School,Self-Employed,0.83,1691.2,8,789957,3.99,48,Auto Loan
47,Male,Divorced,High School,Unemployed,0.45,1295.8,10,1923980,6.38,24,Home Loan
46,Female,Married,High School,Self-Employed,0.81,1722.6,8,1517394,5.42,12,Home Loan
63,Male,Widowed,Bachelor,Employed,0.01,2648.9,13,2989845,4.21,48,Home Loan
23,Female,Single,Master,Unemployed,0.92,1980.8,3,2722188,4.44,36,Auto Loan
52,Female,Widowed,Bachelor,Employed,0.44,2236.6,7,264265,5.43,60,Home Loan
58,Male,Single,Master,Self-Employed,0.55,1411.7,14,4723797,1.54,60,Personal Loan
54,Female,Divorced,Bachelor,Unemployed,0.25,2346.3,7,920913,2.05,12,Home Loan
41,Male,Single,Bachelor,Employed,0.74,2166.5,14,2067017,7.67,24,Personal Loan
46,Female,Divorced,High School,Self-Employed,0.08,798.9,10,663817,2.05,12,Education Loan
66,Male,Widowed,PhD,Employed,0.87,1931.6,12,1006433,6.45,60,Education Loan
63,Male,Divorced,PhD,Employed,0.83,1141.9,6,2045286,7.94,36,Auto Loan
48,Female,Widowed,Master,Employed,0.22,2510.2,12,2591505,3.39,60,Auto Loan
52,Male,Married,PhD,Self-Employed,0.81,1564.8,7,4118949,4.09,48,Education Loan
50,Male,Married,Bachelor,Self-Employed,0.79,2986.7,14,4886691,5.48,60,Home Loan
69,Female,Married,Bachelor,Employed,0.63,731.3,2,4684071,7.67,60,Home Loan
38,Male,Divorced,High School,Unemployed,0.37,2450.9,9,4213887,8.09,48,Home Loan
49,Male,Married,High School,Unemployed,0.27,2184.3,10,4778979,6.68,24,Education Loan
40,Female,Single,PhD,Self-Employed,0.23,2418.7,10,1507850,2.11,60,Personal Loan
50,Female,Widowed,Master,Self-Employed,0.32,1268.8,1,4046480,6.18,12,Auto Loan
20,Male,Widowed,PhD,Self-Employed,0.9,1730.1,1,956803,4.37,60,Personal Loan
35,Male,Single,PhD,Self-Employed,0.08,2491.3,3,3496444,4.79,12,Education Loan
42,Female,Divorced,PhD,Self-Employed,0.83,1081.4,14,4020088,1.84,48,Personal Loan
59,Female,Divorced,PhD,Unemployed,0.35,1065.1,3,2105598,2.84,60,Home Loan
48,Male,Widowed,Bachelor,Self-Employed,0.52,1877.6,1,4883014,7.03,48,Home Loan
20,Female,Married,Master,Employed,0.79,1808.9,12,478298,4.68,48,Personal Loan
57,Male,Divorced,Bachelor,Employed,0.88,1205.7,7,4013031,3.61,24,Education Loan
63,Male,Divorced,Master,Unemployed,0.34,1245.2,4,4340453,4.19,60,Personal Loan
41,Male,Single,High School,Employed,0.46,1194.6,10,580303,7.48,12,Home Loan
67,Male,Single,PhD,Unemployed,0.41,2428.8,13,998651,6.74,12,Home Loan
49,Male,Married,Bachelor,Unemployed,0.01,2129.8,2,3327657,3.41,60,Education Loan
64,Female,Divorced,Master,Employed,0.3,2581.0,10,4960860,2.32,24,Personal Loan
39,Female,Divorced,High School,Self-Employed,0.46,2938.7,5,3346640,3.26,24,Home Loan
40,Female,Single,High School,Employed,0.41,1685.4,6,4198695,7.95,24,Home Loan
19,Female,Divorced,PhD,Employed,0.72,666.7,9,2670891,5.57,12,Personal Loan
44,Male,Widowed,Master,Unemployed,0.38,620.2,4,4626167,5.23,48,Personal Loan
59,Male,Single,Bachelor,Employed,0.49,1239.2,2,569119,5.67,24,Auto Loan
19,Male,Married,PhD,Unemployed,0.43,2831.4,5,1973957,4.06,12,Education Loan
43,Male,Single,Bachelor,Self-Employed,0.74,1808.0,3,2352094,7.15,12,Education Loan
34,Female,Divorced,High School,Self-Employed,0.86,1179.5,2,2202271,5.16,48,Personal Loan
57,Male,Married,Bachelor,Self-Employed,0.53,1497.9,12,2855376,2.32,60,Education Loan
50,Male,Single,Bachelor,Employed,0.79,1996.5,1,3966558,2.4,60,Home Loan
26,Female,Widowed,PhD,Unemployed,0.3,2132.4,10,3741570,5.26,24,Personal Loan
60,Female,Widowed,Bachelor,Self-Employed,0.54,884.8,2,3042362,8.06,24,Personal Loan
65,Female,Single,PhD,Unemployed,0.35,2942.6,6,1211988,3.66,48,Personal Loan
56,Female,Widowed,High School,Unemployed,0.41,1861.9,8,1600346,7.59,24,Auto Loan
46,Male,Widowed,PhD,Self-Employed,0.73,839.2,13,4444921,6.85,48,Education Loan
59,Male,Widowed,PhD,Self-Employed,0.88,2734.1,3,3264449,3.23,12,Auto Loan
43,Female,Married,Master,Unemployed,0.12,686.6,11,615398,1.75,24,Home Loan
52,Male,Widowed,Bachelor,Self-Employed,0.63,2769.3,9,4317910,2.21,12,Education Loan
67,Male,Widowed,High School,Unemployed,0.58,2991.4,12,1597514,6.6,36,Auto Loan
42,Male,Widowed,PhD,Unemployed,0.12,2251.1,9,3332918,2.9,48,Personal Loan
41,Female,Married,High School,Self-Employed,0.21,2426.1,2,4945371,4.1,36,Auto Loan
30,Male,Single,Master,Employed,0.31,1343.3,8,270102,5.01,24,Personal Loan
24,Female,Divorced,Bachelor,Self-Employed,0.17,2853.9,10,157631,6.58,12,Auto Loan
53,Male,Widowed,PhD,Employed,0.24,1824.3,11,1353054,2.29,24,Auto Loan
62,Male,Single,Bachelor,Unemployed,0.27,2331.0,12,2343697,4.34,36,Auto Loan
37,Male,Widowed,Master,Unemployed,0.34,2810.3,5,3169016,4.9,24,Personal Loan
18,Female,Married,Master,Employed,0.75,2937.9,4,1736334,5.29,60,Auto Loan
25,Male,Single,High School,Unemployed,0.57,2583.0,10,3363030,7.23,36,Education Loan
63,Female,Married,PhD,Employed,0.99,1257.5,5,1857199,2.7,24,Education Loan
33,Female,Widowed,High School,Employed,0.41,2916.4,4,3217443,7.15,12,Education Loan
31,Female,Widowed,Master,Unemployed,0.75,2070.3,8,1648004,6.35,24,Personal Loan
29,Male,Married,Bachelor,Employed,0.87,2826.6,4,1739187,5.39,12,Personal Loan
68,Male,Divorced,High School,Self-Employed,0.68,2190.3,13,3337775,6.4,60,Education Loan
40,Male,Married,High School,Self-Employed,0.41,1268.1,10,4471595,4.38,24,Education Loan
32,Male,Widowed,Bachelor,Unemployed,0.75,1425.1,12,3470096,2.47,60,Education Loan
45,Female,Married,High School,Unemployed,0.2,1876.2,13,1340363,6.16,36,Home Loan
51,Female,Divorced,Bachelor,Employed,0.33,2475.0,14,3456839,5.17,12,Education Loan
19,Female,Married,PhD,Employed,0.55,1295.0,6,3123506,5.98,36,Auto Loan
49,Male,Divorced,Bachelor,Employed,0.58,1949.3,2,4307839,3.87,12,Home Loan
40,Female,Divorced,PhD,Employed,0.02,1364.1,5,1571014,7.85,60,Home Loan
39,Male,Married,Bachelor,Self-Employed,0.95,2539.4,6,4926952,5.61,48,Personal Loan
68,Female,Married,Master,Self-Employed,0.7,1666.8,5,4787551,2.1,24,Auto Loan
42,Male,Single,Master,Unemployed,0.5,691.8,12,4599369,4.65,60,Personal Loan
39,Male,Widowed,PhD,Employed,0.93,915.1,2,2829648,6.79,12,Personal Loan
39,Female,Divorced,PhD,Employed,0.44,652.8,14,3267983,7.06,12,Auto Loan
66,Female,Single,Master,Unemployed,0.98,1748.3,7,3664250,4.96,12,Personal Loan
69,Female,Married,PhD,Employed,0.51,765.8,4,761972,7.76,12,Auto Loan
59,Female,Widowed,Bachelor,Employed,0.11,785.3,8,269427,3.37,24,Auto Loan
23,Male,Single,Bachelor,Employed,0.76,2852.6,7,3587507,4.37,36,Personal Loan
32,Female,Divorced,Master,Employed,0.68,2681.6,7,3641171,7.79,48,Education Loan
60,Female,Single,High School,Employed,0.77,1630.2,9,2249155,7.77,24,Personal Loan
54,Female,Divorced,Bachelor,Unemployed,0.95,2964.5,1,4986820,6.3,12,Home Loan
50,Male,Married,PhD,Employed,0.78,500.5,10,3753185,7.51,24,Personal Loan
25,Male,Widowed,High School,Unemployed,0.61,2034.9,6,2367681,2.12,60,Auto Loan
61,Female,Widowed,High School,Employed,0.86,2041.1,6,2865825,7.55,12,Home Loan
61,Male,Widowed,Bachelor,Self-Employed,0.67,1643.6,6,724261,3.74,48,Auto Loan
22,Female,Married,Bachelor,Self-Employed,0.41,1492.4,13,3780433,2.75,12,Education Loan
56,Male,Divorced,High School,Self-Employed,0.89,1638.5,12,4436111,3.18,48,Education Loan
21,Male,Married,High School,Self-Employed,0.22,1537.4,6,34363,4.43,48,Home Loan
23,Male,Widowed,Master,Unemployed,0.71,2326.2,12,404798,3.26,36,Education Loan
62,Male,Married,PhD,Unemployed,0.88,838.4,10,2055990,3.74,36,Education Loan
49,Female,Married,Master,Employed,0.73,994.1,7,1395049,2.44,24,Personal Loan
69,Female,Married,Bachelor,Self-Employed,0.7,951.3,14,2108772,3.57,24,Personal Loan
47,Female,Divorced,Master,Unemployed,0.75,1156.2,10,1508447,5.51,48,Education Loan
64,Male,Single,Master,Employed,0.47,1813.1,6,3251147,4.59,12,Education Loan
52,Female,Single,Master,Employed,0.87,778.0,1,4897198,3.93,60,Personal Loan
57,Female,Married,Master,Unemployed,0.2,2670.4,3,1555288,6.73,60,Education Loan
69,Female,Single,PhD,Self-Employed,0.13,1243.4,2,4112622,7.75,12,Education Loan
33,Male,Single,PhD,Employed,0.29,906.3,6,1605123,6.8,12,Auto Loan
30,Male,Married,High School,Self-Employed,0.53,2189.1,8,4224959,3.82,36,Education Loan
67,Male,Married,Bachelor,Self-Employed,0.51,595.2,3,2009085,6.71,60,Home Loan
59,Female,Widowed,Master,Self-Employed,0.82,2049.9,10,959133,2.56,48,Auto Loan
47,Female,Single,High School,Employed,0.4,2245.5,8,460400,2.41,24,Home Loan
36,Female,Divorced,High School,Self-Employed,0.48,1037.3,8,4870774,3.92,36,Education Loan
34,Male,Married,High School,Employed,0.01,604.9,5,4079305,7.15,60,Personal Loan
36,Male,Widowed,PhD,Self-Employed,0.41,1409.1,8,1401538,3.22,12,Auto Loan
45,Female,Divorced,Master,Employed,0.65,746.5,6,4117560,1.94,60,Personal Loan
43,Male,Single,Master,Self-Employed,0.02,791.2,5,181236,2.42,48,Auto Loan
54,Male,Widowed,Bachelor,Unemployed,0.28,1135.7,9,3020129,7.51,36,Personal Loan
43,Male,Married,Master,Self-Employed,0.21,1238.7,14,99743,5.94,12,Auto Loan
40,Male,Divorced,Master,Self-Employed,0.04,1824.9,7,4652179,3.27,48,Auto Loan
26,Female,Married,High School,Employed,0.48,2196.0,8,4122924,5.39,24,Home Loan
29,Male,Single,Bachelor,Employed,0.18,1981.9,1,1965206,5.19,36,Personal Loan
18,Male,Divorced,Master,Self-Employed,0.74,870.9,11,4098077,6.09,48,Home Loan
18,Male,Single,PhD,Unemployed,0.85,930.2,2,1148422,3.13,48,Home Loan
64,Male,Single,Master,Unemployed,0.55,2696.9,8,768795,7.55,12,Personal Loan
51,Female,Widowed,High School,Employed,0.98,1895.9,12,1774688,3.67,24,Auto Loan
49,Female,Married,PhD,Unemployed,0.45,2674.8,9,2967817,6.36,48,Home Loan
65,Male,Divorced,High School,Self-Employed,0.51,1428.9,4,2714489,1.61,36,Personal Loan
42,Male,Single,Master,Employed,0.99,2036.0,12,249647,4.11,48,Auto Loan
57,Male,Single,PhD,Self-Employed,0.23,1809.2,10,4494266,3.96,60,Home Loan
62,Male,Divorced,Bachelor,Employed,0.94,1297.8,11,4103776,5.3,36,Home Loan
18,Male,Single,Bachelor,Employed,0.04,1674.8,10,4524153,2.01,36,Home Loan
33,Male,Widowed,PhD,Employed,0.45,1756.2,14,4748696,7.03,48,Auto Loan
56,Female,Widowed,PhD,Employed,0.07,1001.9,9,4590784,3.02,12,Home Loan
22,Male,Widowed,High School,Unemployed,0.73,1287.5,4,3807920,6.24,36,Auto Loan
39,Female,Widowed,PhD,Self-Employed,0.61,2478.5,10,3782515,7.12,60,Education Loan
46,Female,Single,High School,Self-Employed,0.71,2789.5,10,2952609,5.43,12,Home Loan
20,Male,Divorced,Master,Self-Employed,0.37,1399.5,10,1810200,6.69,12,Education Loan
29,Female,Divorced,High School,Employed,0.37,1267.4,9,434632,6.13,12,Personal Loan
43,Female,Divorced,PhD,Unemployed,0.05,988.0,11,1582732,3.99,36,Home Loan
33,Female,Divorced,PhD,Self-Employed,0.35,2196.2,7,1950593,7.16,12,Personal Loan
68,Female,Married,Master,Unemployed,0.93,1307.7,2,1519837,3.56,48,Personal Loan
54,Female,Divorced,PhD,Employed,0.38,2969.4,9,2750855,5.5,12,Personal Loan
39,Female,Married,PhD,Self-Employed,0.83,1314.2,4,1501625,6.72,60,Education Loan
46,Male,Married,Bachelor,Unemployed,0.84,1485.3,8,3350444,4.15,24,Auto Loan
31,Female,Widowed,Bachelor,Employed,0.37,2008.3,14,3760222,3.62,60,Education Loan
45,Female,Married,Master,Unemployed,0.63,2504.2,7,1390188,4.72,36,Education Loan
22,Female,Single,High School,Self-Employed,0.1,1673.8,13,3137555,7.23,12,Personal Loan
64,Male,Married,Bachelor,Self-Employed,0.1,1556.6,7,3070465,8.01,12,Home Loan
66,Female,Widowed,High School,Employed,0.05,2989.1,8,3179451,5.32,48,Auto Loan
47,Male,Married,PhD,Employed,0.58,526.2,1,2828767,6.13,12,Personal Loan
63,Female,Single,Bachelor,Employed,0.43,2737.7,5,3876610,7.82,60,Auto Loan
69,Male,Single,Master,Unemployed,0.55,872.9,2,1472333,2.19,36,Education Loan
22,Male,Single,Master,Unemployed,0.52,2464.8,2,580217,3.12,24,Auto Loan
29,Female,Widowed,Master,Unemployed,0.35,2044.8,1,133199,6.46,12,Auto Loan
33,Female,Widowed,Bachelor,Employed,0.68,1354.6,5,2138825,7.27,24,Home Loan
43,Male,Divorced,High School,Self-Employed,0.76,2684.7,2,434190,7.5,12,Personal Loan
43,Female,Widowed,PhD,Self-Employed,0.01,532.3,4,3482696,4.41,36,Auto Loan
65,Male,Single,High School,Unemployed,0.21,1066.7,3,2130677,2.13,60,Auto Loan
38,Male,Single,High School,Unemployed,0.71,1917.2,3,2689244,4.56,36,Education Loan
56,Male,Widowed,PhD,Self-Employed,0.39,1378.9,2,3232989,3.12,24,Education Loan
53,Male,Married,PhD,Self-Employed,0.66,2025.9,13,4961904,3.54,12,Auto Loan
50,Male,Widowed,Bachelor,Unemployed,0.35,560.3,6,2607979,6.91,24,Personal Loan
47,Female,Widowed,Bachelor,Unemployed,0.39,791.1,2,2026307,2.03,60,Auto Loan
54,Male,Single,Bachelor,Self-Employed,0.16,817.7,14,3971643,7.29,36,Auto Loan
40,Male,Divorced,Bachelor,Employed,0.26,973.2,14,2114417,4.49,24,Home Loan
27,Female,Single,Bachelor,Unemployed,0.61,1648.3,8,819195,5.67,24,Personal Loan
22,Male,Divorced,PhD,Self-Employed,0.43,2380.3,8,4220037,2.13,60,Home Loan
53,Female,Single,High School,Self-Employed,0.77,2763.8,13,908628,3.86,12,Personal Loan
51,Female,Widowed,Bachelor,Self-Employed,0.85,2588.4,14,3771054,2.13,24,Personal Loan
69,Female,Single,Bachelor,Self-Employed,0.54,992.2,12,2406716,8.23,60,Personal Loan
48,Male,Single,High School,Employed,0.76,1602.9,5,2565517,7.15,12,Home Loan
27,Male,Single,Bachelor,Self-Employed,0.31,998.5,10,1079634,4.72,12,Home Loan
36,Male,Widowed,High School,Unemployed,0.41,1161.2,7,2353453,3.07,36,Home Loan
49,Female,Widowed,High School,Employed,0.71,1758.9,4,1355649,8.03,60,Education Loan
18,Male,Widowed,PhD,Self-Employed,0.39,670.3,1,1011675,3.91,12,Home Loan
22,Female,Widowed,Master,Employed,0.59,1045.4,11,2067244,2.63,36,Education Loan
62,Male,Divorced,PhD,Unemployed,0.19,2838.4,2,2717929,5.44,48,Education Loan
21,Female,Divorced,Master,Self-Employed,0.6,1665.3,10,3858444,8.11,60,Education Loan
33,Male,Married,Master,Unemployed,0.86,1613.5,10,2184749,1.53,48,Auto Loan
41,Male,Widowed,Master,Self-Employed,0.87,536.4,4,3152536,3.17,12,Auto Loan
33,Male,Divorced,Bachelor,Self-Employed,0.72,1118.5,1,1851049,8.07,60,Auto Loan
19,Female,Single,PhD,Self-Employed,0.75,2665.7,13,4282513,2.7,36,Education Loan
66,Female,Widowed,Master,Self-Employed,0.56,911.6,8,3938125,2.29,12,Education Loan
45,Male,Married,High School,Self-Employed,0.58,1537.8,9,4135186,5.49,60,Personal Loan
49,Male,Married,Bachelor,Employed,0.13,535.8,4,3348669,7.53,60,Education Loan
44,Female,Married,PhD,Self-Employed,0.44,1695.8,10,3832147,4.84,48,Auto Loan
37,Female,Single,Master,Self-Employed,0.45,552.6,3,634152,8.46,12,Education Loan
41,Female,Divorced,High School,Employed,0.96,2549.0,2,2255772,6.25,36,Education Loan
29,Male,Single,PhD,Employed,0.43,2562.1,5,4370866,2.02,36,Personal Loan
67,Female,Widowed,PhD,Employed,0.55,2469.4,14,2314310,8.45,12,Education Loan
52,Male,Married,Bachelor,Employed,0.53,1208.4,3,986264,4.36,12,Home Loan
50,Female,Single,PhD,Employed,0.64,2593.1,10,4103569,3.51,24,Personal Loan
50,Male,Single,Bachelor,Employed,0.75,1857.5,7,4490757,5.41,48,Education Loan
68,Female,Divorced,Master,Self-Employed,0.23,1434.5,11,3938094,3.63,12,Education Loan
60,Female,Divorced,Bachelor,Self-Employed,0.53,2063.3,6,2975483,2.11,12,Personal Loan
54,Female,Married,High School,Unemployed,0.83,530.9,1,4429713,1.51,24,Education Loan
29,Female,Single,Bachelor,Self-Employed,0.46,857.4,12,2800353,4.65,24,Auto Loan
20,Female,Single,High School,Self-Employed,0.28,2355.7,8,4943229,7.36,60,Home Loan
18,Male,Divorced,Bachelor,Employed,0.65,1110.4,2,3071316,5.51,36,Home Loan
50,Female,Single,PhD,Employed,0.82,1995.0,5,2475849,8.49,48,Auto Loan
57,Female,Single,Master,Self-Employed,0.06,1462.8,9,2943865,3.51,60,Education Loan
27,Female,Single,High School,Unemployed,0.78,2637.0,8,592314,3.46,12,Education Loan
60,Male,Divorced,Bachelor,Employed,0.82,2881.0,2,3851185,2.62,24,Home Loan
61,Female,Married,Bachelor,Self-Employed,0.46,2708.9,9,2515700,2.65,36,Education Loan
46,Male,Widowed,Bachelor,Self-Employed,0.98,1176.5,5,155693,3.5,60,Home Loan
30,Female,Married,PhD,Unemployed,0.79,985.4,10,1659734,7.05,36,Home Loan
29,Female,Widowed,PhD,Unemployed,0.77,1686.1,14,3698190,7.84,24,Auto Loan
48,Male,Single,High School,Employed,0.75,518.3,6,920789,8.33,60,Home Loan
63,Female,Married,High School,Unemployed,0.15,564.5,13,895621,3.13,60,Education Loan
19,Male,Widowed,PhD,Self-Employed,0.22,1883.2,3,4503122,7.67,36,Education Loan
68,Male,Divorced,High School,Self-Employed,0.46,1801.1,13,571548,3.8,24,Personal Loan
67,Female,Divorced,Master,Unemployed,0.26,2986.5,3,714824,2.29,12,Education Loan
52,Male,Married,Master,Unemployed,0.42,1004.6,10,1842500,7.59,60,Personal Loan
40,Female,Married,PhD,Unemployed,0.89,1145.3,8,4389845,5.95,12,Home Loan
34,Female,Single,High School,Unemployed,0.82,783.9,11,1713728,2.65,24,Education Loan
43,Male,Married,Bachelor,Employed,0.63,2793.9,10,4772315,4.51,60,Auto Loan
25,Male,Single,Master,Unemployed,0.86,2444.5,10,3387136,3.51,60,Auto Loan
46,Male,Single,PhD,Employed,0.78,2555.8,12,478451,6.66,12,Auto Loan
43,Male,Divorced,High School,Self-Employed,0.43,2756.9,2,3397841,4.67,48,Home Loan
27,Female,Divorced,PhD,Unemployed,0.2,1812.2,11,3232026,8.42,12,Home Loan
43,Female,Widowed,Bachelor,Employed,0.51,1628.0,12,4787830,1.88,12,Personal Loan
51,Male,Divorced,Master,Unemployed,0.74,1326.0,12,269425,3.99,48,Auto Loan
68,Female,Divorced,PhD,Self-Employed,0.44,1973.0,2,520609,4.87,24,Personal Loan
58,Female,Married,PhD,Self-Employed,0.67,1635.7,13,4504893,5.02,24,Personal Loan
24,Female,Divorced,PhD,Self-Employed,0.09,1628.9,5,4913467,3.71,60,Education Loan
21,Female,Widowed,Bachelor,Unemployed,0.75,2842.3,6,2103333,6.6,36,Education Loan
67,Male,Married,PhD,Unemployed,0.81,2960.1,12,640458,7.62,36,Auto Loan
62,Male,Widowed,Bachelor,Employed,0.71,2491.2,2,1978093,8.07,60,Home Loan
28,Female,Divorced,Bachelor,Self-Employed,0.97,2391.9,5,2454913,7.14,36,Education Loan
46,Male,Widowed,Bachelor,Unemployed,0.83,2201.4,7,3797132,7.45,12,Home Loan
53,Male,Married,Master,Self-Employed,0.9,915.2,10,3819821,5.35,12,Personal Loan
42,Male,Single,Master,Self-Employed,0.93,647.8,10,805911,7.28,48,Personal Loan
38,Female,Widowed,PhD,Employed,0.8,2226.8,8,4803953,3.62,48,Personal Loan
53,Female,Widowed,PhD,Employed,0.67,2322.0,12,1735240,4.29,60,Personal Loan
27,Female,Married,Master,Employed,0.01,617.4,7,438910,3.72,60,Auto Loan
54,Male,Married,High School,Employed,0.47,2820.1,8,3279960,4.77,60,Personal Loan
